rank, rank_change, rider_name, team, nationality, PCS_points, PCS_points_change, UCI_points, one_day_race, GC, TT, Sprint, Climber, age, height, weight, year_wins, all_year_wins, all_year_GT, all_classics, years_active, race_km, race_days
558, 2, Stewart Campbell, Black Spoke Pro Cycling Academy, New Zealand, 71, 66, 99, 35, 18, 0, 71, 0, 23, 1.81, 76, 3, 0, 0, 0, 3, 3307, 23
559, 2, Okamika Ander, Burgos-BH, Spain, 71, 71, 95, 46, 25, 1, 0, 18, 28, 1.89, 72, 0, 0, 1, 0, 1, 9036, 56
560, 2, Johannessen Anders Halland, Uno-X Dare Development Team, Norway, 70, 70, 98, 0, 55, 3, 17, 54, 22,  ,  , 1, 0, 0, 0, 1, 6341, 46
561, 2, Denz Nico, Team DSM, Germany, 70, -103, 27, 331, 247, 148, 280, 101, 27, 1.83, 71, 0, 2, 6, 11, 7, 11307, 70
562, 2, Masuda Nariyuki, Utsunomiya Blitzen, Japan, 70, 52, 172, 186, 236, 278, 233, 140, 38, 1.76, 61, 2, 2, 0, 0, 15, 904, 7
563, -9, Bol Jetse, Burgos-BH, Netherlands, 70, 3, 52, 365, 467, 145, 804, 302, 32, 1.84, 71, 0, 0, 6, 2, 13, 9540, 59
564, -11, Warbasse Larry, AG2R Citroën Team, United States, 69, -93, 64, 205, 696, 311, 77, 496, 31, 1.83, 67, 0, 2, 8, 13, 11, 10818, 67
565, 0, Aerts Toon, Baloise - Trek Lions, Belgium, 69, 43, 73, 62, 187, 88, 144, 31, 28, 1.88, 72, 0, 0, 0, 0, 5, 2362, 14
566, 0, Roosen Timo, Team Jumbo-Visma, Netherlands, 69, -37, 147, 883, 379, 195, 723, 168, 28, 1.94, 78, 1, 3, 4, 11, 9, 8891, 52
567, 0, Covili Luca, Bardiani-CSF-Faizanè, Italy, 69, 62, 97, 28, 93, 6, 19, 97, 24, 1.8, 58, 0, 0, 2, 3, 6, 8327, 52
568, 0, Doull Owain, INEOS Grenadiers, Great Britain, 68, -38, 85, 387, 370, 226, 548, 99, 28, 1.81, 71, 1, 2, 1, 9, 9, 7650, 48
569, 0, Rebellin Davide, Work Service Marchiol Vega, Italy, 68, 48, 90, 15455, 7563, 2115, 9837, 6878, 50, 1.71, 63, 0, 61, 19, 46, 31, 5200, 34
570, 0, De Bie Sean, Bingoal Pauwels Sauces WB, Belgium, 68, 10, 93, 946, 375, 395, 1127, 123, 30, 1.73, 65, 0, 4, 2, 4, 11, 7097, 48
571, 23, Saidi Nassim,  , Algeria, 68, 7, 232, 139, 21, 74, 601, 11, 26,  ,  , 0, 0, 0, 0, 7, 3890, 32
572, -1, Kämna Lennard, BORA - hansgrohe, Germany, 68, -471, 58, 146, 435, 361, 105, 694, 25, 1.81, 65, 1, 3, 3, 4, 7, 1860, 12
573, -1, D'heygere Gil, Tarteletto - Isorex, Belgium, 68, 67, 122, 69, 0, 0, 38, 0, 23, 1.84, 76, 0, 0, 0, 0, 2, 4397, 29
574, -1, Peñalver Manuel, Burgos-BH, Spain, 68, 41, 98, 84, 0, 0, 433, 31, 22, 1.77, 70, 0, 1, 0, 0, 4, 5489, 34
575, -1, Guardini Andrea, Giotti Victoria - Savini Due, Italy, 67, 41, 90, 239, 161, 1, 5276, 54, 32, 1.75, 66, 2, 43, 3, 5, 13, 6514, 46
576, -1, Richeze Maximiliano, UAE-Team Emirates, Argentina, 67, 52, 21, 1115, 499, 151, 4442, 701, 38, 1.77, 68, 0, 17, 15, 14, 18, 11921, 74
577, -1, Vliegen Loïc, Intermarché - Wanty - Gobert Matériaux, Belgium, 67, -142, 38, 631, 581, 23, 524, 250, 27, 1.84, 70, 0, 3, 3, 10, 10, 9261, 56
578, -1, Gregaard Jonas, Astana - Premier Tech, Denmark, 67, 12, 74, 83, 227, 7, 136, 144, 25, 1.86, 66, 0, 0, 1, 1, 7, 6645, 43
579, -1, Gamper Patrick, BORA - hansgrohe, Austria, 67, 49, 93, 84, 20, 112, 96, 8, 24, 1.92, 81, 0, 0, 2, 1, 6, 11608, 73
580, -1, Owsian Łukasz, Team Arkéa Samsic, Poland, 66, 39, 95, 243, 458, 98, 340, 88, 31, 1.81, 66, 0, 0, 3, 6, 13, 12944, 79
