rank, rank_change, rider_name, team, nationality, PCS_points, PCS_points_change, UCI_points, one_day_race, GC, TT, Sprint, Climber, age, height, weight, year_wins, all_year_wins, all_year_GT, all_classics, years_active, race_km, race_days
971, 1, Hoeks Daan,  , Netherlands, 24, 22, 33, 2, 18, 2, 1, 0, 21, 1.82, 68, 1, 0, 0, 0, 2, 3248, 24
972, 1, Double Paul, Mg.k Vis VPM, Great Britain, 24, 13, 46, 0, 35, 2, 32, 12, 25,  , 56, 0, 0, 0, 0, 2, 4336, 30
973, 1, Engelhardt Felix, Tirol KTM Cycling Team, Germany, 24, 22, 51, 24, 57, 0, 25, 8, 21,  ,  , 0, 0, 0, 0, 2, 4187, 31
974, 1, Marquez Marti, Equipo Kern Pharma, Spain, 24, -71, 33, 1, 108, 0, 36, 7, 25, 1.84, 63, 0, 0, 0, 0, 2, 8914, 59
975, 1, González David, Caja Rural - Seguros RGA, Spain, 24, 18, 30, 15, 5, 0, 154, 38, 25, 1.79, 68, 0, 0, 0, 0, 3, 9505, 61
976, 1, Nicolau Joel, Caja Rural - Seguros RGA, Spain, 24, 18, 38, 5, 21, 2, 2, 35, 23, 1.76, 66, 0, 0, 0, 0, 3, 6169, 38
977, 1150, Khafi Oussama,  , Morocco, 24, 6, 32, 17, 19, 30, 59, 0, 23, 1.72, 65, 1, 0, 0, 0, 3, 1273, 10
978, 0, Ťoupalík Jakub, Elkov - Kasper, Czech Republic, 24, 24, 77, 2, 24, 0, 20, 0, 20, 1.8, 65, 0, 0, 0, 0, 1, 4673, 36
979, 0, Stachowiak Adam, HRE Mazowsze Serce Polski, Poland, 23, -4, 49, 41, 291, 251, 378, 66, 32, 1.76, 62, 0, 0, 0, 0, 9, 8914, 63
980, 0, Maikin Roman,  , Russia, 23, 4, 81, 557, 231, 66, 1340, 78, 31, 1.77, 68, 0, 2, 0, 1, 10, 1720, 14
981, 0, Örken Ahmet, Team Sapura Cycling, Turkey, 23, -9, 50, 119, 233, 360, 1926, 200, 28, 1.77, 69, 1, 11, 0, 0, 10, 2492, 21
982, 0, Geniez Alexandre, Team TotalEnergies, France, 23, -27, 26, 538, 1709, 707, 350, 1380, 33, 1.84, 68, 0, 15, 14, 9, 13, 5506, 38
983, 0, Declercq Benjamin, Team Arkéa Samsic, Belgium, 23, -70, 18, 375, 157, 90, 464, 100, 27, 1.82, 67, 0, 0, 0, 9, 8, 3111, 20
984, 1, Larsen Niklas, Uno-X Pro Cycling Team, Denmark, 23, 10, 75, 129, 172, 111, 323, 5, 24, 1.8, 74, 1, 1, 0, 0, 6, 1618, 12
985, 1, Banaszek Norbert, HRE Mazowsze Serce Polski, Poland, 23, -16, 39, 16, 47, 40, 167, 0, 24, 1.89, 75, 0, 0, 0, 0, 6, 8438, 58
986, 107, El Kouraji Mohcine, Sidi Ali  - Kinetik Sports Pro Cycling Team, Morocco, 23, 22, 81, 35, 46, 87, 144, 17, 23,  ,  , 1, 0, 0, 0, 6, 2759, 22
987, 16, Slootjes Jordi,  , Netherlands, 23, 23, 35, 0, 18, 0, 42, 11, 26, 1.82, 70, 0, 0, 0, 0, 1, 1968, 15
988, -1, Garofoli Gianmarco, Development Team DSM, Italy, 23, 23, 30, 0, 18, 2, 7, 3, 19,  ,  , 1, 0, 0, 0, 1, 4102, 34
989, -1, Zerai Nahom,  , Eritrea, 23, 23, 28, 0, 16, 0, 4, 27, 19,  ,  , 0, 0, 0, 0, 1, 1068, 9
990, -1, Carvalho Andre, Cofidis Solutions Crédits, Portugal, 22, 8, 10, 65, 3, 0, 44, 2, 24, 1.81, 66, 0, 0, 0, 2, 3, 6278, 37
991, -1, Bazhkou Stanislau, Minsk Cycling Club, Belarus, 22, -62, 136, 114, 390, 154, 818, 212, 30, 1.77, 65, 1, 6, 0, 0, 12, 4000, 30
992, -1, Bagües Aritz, Caja Rural - Seguros RGA, Spain, 22, 2, 3, 46, 184, 21, 84, 78, 32, 1.77, 67, 0, 0, 4, 0, 9, 9051, 57
993, -1, Maldonado Anthony, St Michel - Auber93, France, 22, -35, 33, 346, 75, 3, 668, 48, 30, 1.75, 57, 0, 0, 0, 0, 12, 6207, 40
994, -1, Abdurrahman Muhammad, KFC Cycling Team, Indonesia, 22, 6, 65, 15, 11, 25, 32, 26, 24, 1.69, 56, 1, 1, 0, 0, 3, 0, 2
995, -1, Pelikán János, Androni Giocattoli - Sidermec, Hungary, 22, 18, 37, 65, 24, 280, 123, 2, 26, 1.89, 76, 1, 4, 0, 0, 6, 4523, 34
996, -1, van der Kooij Bas, VolkerWessels Cyclingteam, Netherlands, 22, 19, 30, 165, 14, 0, 650, 0, 26, 1.76, 70, 0, 0, 0, 0, 5, 1553, 11
997, -1, Abdullah Afif,  , Qatar, 22, 12, 65, 15, 0, 25, 1, 0, 35,  ,  , 1, 1, 0, 0, 6, 183, 3
998, -1, Filutás Viktor, Giotti Victoria - Savini Due, Hungary, 22, -14, 128, 42, 27, 78, 96, 5, 25, 1.79, 68, 1, 2, 0, 0, 5, 3842, 28
999, -1, Alrabie Mostafa,  , Saudi Arabia	, 22, 7, 65, 15, 0, 64, 2, 0, 25,  ,  , 1, 2, 0, 0, 2, 15, 2
1000, -1, Bolor-erdene Enkhtaivan,  , Mongolia, 22, 6, 65, 45, 0, 186, 26, 0, 26,  ,  , 1, 3, 0, 0, 6, 0, 2
1001, -1, Hopkins Kaden,  , Bermuda, 22, -3, 66, 38, 0, 81, 0, 0, 21,  ,  , 1, 1, 0, 0, 3, 1562, 16
1002, -1, Azparren Xabier Mikel, Euskaltel - Euskadi, Spain, 22, 22, 19, 0, 22, 72, 7, 11, 22,  ,  , 0, 0, 1, 0, 1, 9503, 65
1003, -1, Quartucci Lorenzo, D'Amico - UM Tools, Italy, 22, 22, 44, 11, 4, 0, 25, 2, 22, 1.7, 64, 0, 0, 0, 0, 1, 4369, 31
1004, 0, Gil Angel Alexander, Equipe Continental Orgullo Paisa, Colombia, 22, 15, 36, 0, 30, 20, 14, 52, 29,  ,  , 0, 0, 0, 0, 4, 2319, 19
1005, 0, Ómarsson Ingvar,  , Iceland, 22, -5, 65, 89, 0, 85, 0, 0, 32,  ,  , 1, 7, 0, 0, 9, 112, 4
1006, 0, Hessmann Michel, Jumbo-Visma Development Team, Germany, 22, 20, 149, 0, 17, 26, 6, 0, 20,  ,  , 2, 0, 0, 0, 2, 6001, 45
1007, 0, Raccani Simone, Zalf Euromobil Fior, Italy, 22, 22, 55, 22, 0, 1, 18, 0, 20,  ,  , 1, 0, 0, 0, 1, 2437, 18
1008, 0, Peltonen Ukko Iisakki, Ampler Development Team, Finland, 22, -3, 48, 20, 3, 85, 12, 0, 23, 1.87, 69, 0, 2, 0, 0, 3, 4543, 33
1009, 0, Cuadrado Unai, Euskaltel - Euskadi, Spain, 22, -6, 29, 57, 30, 0, 29, 22, 24,  ,  , 0, 0, 0, 0, 3, 8679, 59
1010, 0, Viechweg Tessimy,  , Grenada, 22, 22, 45, 7, 0, 30, 0, 0, 31,  ,  , 1, 1, 0, 0, 1, 0, 2
1011, 0, Merchan Didier,  , Colombia, 22, 22, 46, 15, 6, 4, 31, 10, 22,  ,  , 1, 0, 0, 0, 1, 3584, 28
1012, 0, Brenner Marco, Team DSM, Germany, 22, 22, 17, 11, 10, 3, 8, 18, 19,  ,  , 0, 0, 0, 0, 1, 6203, 42
1013, 0, Logionov Vladislav,  , Israel, 22, 16, 65, 19, 0, 45, 0, 0, 26, 1.74, 66, 1, 1, 0, 0, 2, 506, 4
1014, 0, Hueton Tevin,  , Grenada, 22, 22, 65, 15, 0, 25, 0, 0, 27,  ,  , 1, 1, 0, 0, 1, 0, 2
1015, 0, Sanabria Cesar,  , Venezuela, 22, 22, 34, 0, 8, 5, 49, 8, 22,  ,  , 2, 0, 0, 0, 1, 1868, 17
1016, -1, Alahmad Jihad,  , Libenon, 22, 22, 65, 15, 0, 25, 0, 0,  ,  ,  , 1, 1, 0, 0, 1, 0, 2
1017, -1, Carvalho Antonio, Efapel, Portugal, 21, -48, 30, 22, 257, 354, 208, 172, 32, 1.76, 62, 0, 2, 0, 0, 11, 2134, 15
1018, -1, Castillo Ulises Alfredo, Wildlife Generation Pro Cycling, Mexico, 21, -11, 52, 86, 69, 37, 287, 38, 29,  , 72, 0, 1, 0, 0, 6, 2303, 16
1019, -1, Casimiro Henrique, Kelly / Simoldes / UDO , Portugal, 21, 16, 23, 7, 299, 52, 88, 224, 35, 1.75, 62, 0, 0, 0, 0, 10, 3338, 23
1020, 0, Belletti Manuel, EOLO-Kometa, Italy, 21, -42, 5, 2039, 183, 64, 4604, 273, 36, 1.75, 72, 0, 19, 10, 11, 16, 3865, 25
1021, 0, Sieberg Marcel, Bahrain - Victorious, Germany, 21, 16, 0, 1529, 523, 353, 1718, 92, 39, 1.98, 80, 0, 2, 11, 36, 20, 5721, 36
1022, 0, De Witte Mathias, Xelliss - Roubaix Lille Métropole, Belgium, 21, -1, 34, 149, 36, 0, 145, 50, 28, 1.78, 61, 0, 0, 0, 0, 5, 6628, 45
1023, 0, Basso Leonardo, INEOS Grenadiers, Italy, 21, 5, 4, 194, 72, 0, 184, 33, 27, 1.77, 63, 0, 0, 0, 3, 7, 7173, 46
1024, 0, Zanoncello Enrico, Bardiani-CSF-Faizanè, Italy, 21, 18, 20, 15, 5, 0, 64, 0, 24, 1.7, 64, 0, 0, 0, 0, 2, 5907, 40
1025, 0, Broge Nils Lau Nyborg, BHS - PL Beton Bornholm, Denmark, 21, 17, 70, 15, 8, 6, 35, 2, 29, 1.82, 75, 0, 0, 0, 0, 5, 3568, 22
1026, 0, De Vries Hartthijs, Metec - Solarwatt p/b Mantel, Netherlands, 21, -4, 38, 52, 15, 7, 69, 0, 25, 1.84, 66, 0, 0, 0, 0, 7, 2549, 16
1027, 1, Milan Jonathan, Bahrain - Victorious, Italy, 21, 10, 5, 6, 3, 42, 62, 0, 21, 1.94, 84, 0, 0, 0, 2, 3, 4988, 34
1028, 1, Germani Lorenzo, Equipe continentale Groupama-FDJ, Italy, 21, 21, 26, 0, 18, 3, 0, 0, 19, 1.8, 62, 0, 0, 0, 0, 1, 4035, 31
1029, 1, Bisolti Alessandro, Androni Giocattoli - Sidermec, Italy, 20, 0, 20, 180, 437, 58, 342, 308, 36, 1.75, 58, 0, 0, 4, 5, 16, 7413, 51
1030, 1, Lebas Thomas, Kinan Cycling Team, France, 20, -1, 36, 89, 903, 58, 586, 464, 35, 1.82, 65, 0, 2, 0, 0, 15, 450, 4
1031, 1, Buts Vitaliy, Salcano Sakarya BB Team, Ukraine, 20, -16, 117, 427, 871, 30, 2575, 164, 35, 1.76, 68, 0, 5, 1, 6, 15, 4128, 30
1032, 1, Capecchi Eros, Bahrain - Victorious, Italy, 20, -7, 0, 358, 1513, 65, 574, 1300, 35, 1.83, 65, 0, 4, 19, 14, 17, 5166, 38
1033, 1, Vanendert Jelle, Bingoal Pauwels Sauces WB, Belgium, 20, -75, 21, 2196, 785, 21, 691, 1868, 36, 1.84, 62, 0, 2, 10, 26, 17, 4563, 31
1034, 1, Cherel Mikaël, AG2R Citroën Team, France, 20, -88, 24, 603, 1213, 1, 582, 746, 35, 1.83, 65, 0, 0, 15, 23, 15, 5381, 33
1035, 1, Valls Rafael, Bahrain - Victorious, Spain, 20, -4, 0, 293, 1177, 78, 207, 776, 34, 1.79, 64, 0, 4, 11, 5, 15, 5195, 34
1036, 1, Kreuziger Roman, Gazprom - RusVelo, Czech Republic, 20, -38, 8, 2367, 5043, 2174, 580, 4598, 35, 1.83, 65, 0, 15, 18, 24, 17, 6178, 39
1037, 1, Gandin Stefano, Zalf Euromobil Fior, Italy, 20, -5, 38, 30, 9, 1, 100, 2, 25, 1.85, 69, 0, 0, 0, 0, 3, 1997, 13
1038, 1, Mora Luis Guillermo,  , Venezuela, 20, -3, 33, 0, 36, 17, 22, 35, 27,  ,  , 0, 0, 0, 0, 3, 2069, 19
1039, 1, Caicedo Jonathan Klever, EF Education - Nippo, Ecuador, 20, -170, 22, 164, 277, 102, 170, 159, 28, 1.64, 62, 0, 4, 4, 2, 7, 7783, 52
1040, 1, Daniels Simon, XSpeed United Continental, Belgium, 20, 20, 60, 15, 0, 0, 63, 0, 24,  ,  , 0, 0, 0, 0, 1, 2814, 20
1041, 1, Smarzaro Daniel, D'Amico - UM Tools, Italy, 20, -2, 30, 30, 0, 0, 71, 0, 24,  ,  , 0, 0, 0, 0, 4, 3366, 25
1042, 1, Muff Frederik, ColoQuick, Denmark, 20, 18, 35, 15, 0, 99, 5, 10, 28, 1.95, 78, 0, 0, 0, 0, 4, 2381, 17
1043, 1, Areruya Joseph, Benediction Ignite, Rwanda, 20, -4, 80, 119, 240, 287, 397, 158, 25, 1.76, 74, 0, 4, 0, 1, 7, 337, 4
1044, 1, Bouts Jordy, BEAT Cycling, Belgium, 20, 2, 25, 20, 18, 0, 36, 9, 25, 1.74, 62, 0, 0, 0, 0, 3, 3822, 23
1045, 1, Salmon Martin, Team DSM, Germany, 20, 20, 5, 3, 5, 0, 3, 0, 24, 1.79, 59, 0, 0, 1, 0, 1, 5515, 36
1046, 1, Bigham Daniel, Ribble Weldtite Pro Cycling, Great Britain, 20, 10, 85, 7, 0, 74, 24, 0, 30, 1.83, 75, 0, 0, 0, 0, 6, 2121, 16
1047, 1, Dina Márton, EOLO-Kometa, Hungary, 20, 2, 3, 37, 119, 69, 51, 42, 25, 1.86, 67, 0, 0, 1, 0, 4, 6633, 42
1048, 1, Vanhoof Ward, Sport Vlaanderen - Baloise, Belgium, 20, 13, 33, 27, 140, 12, 43, 10, 22, 1.86, 74, 0, 0, 0, 0, 3, 7164, 42
1049, 1, Aschenbrenner Michel, P&S Metalltechnik, Germany, 20, 15, 35, 0, 11, 10, 90, 2, 22, 1.84, 69, 1, 0, 0, 0, 2, 5964, 42
1050, 1, Babor Daniel, Tufo - Pardus Prostějov, Czech Republic, 20, 8, 69, 0, 10, 14, 68, 0, 22, 1.79, 78, 2, 1, 0, 0, 3, 3836, 29
1051, 1, Forssell Hugo,  , Sweden, 20, 18, 56, 0, 15, 96, 13, 0, 22, 1.92, 82, 1, 1, 0, 0, 3, 1525, 12
1052, 2, Archibald John, EOLO-Kometa, Great Britain, 20, -19, 57, 7, 5, 143, 0, 0, 31, 1.9, 79, 0, 0, 0, 0, 3, 2763, 19
1053, 2, Ciuccarelli Riccardo, Biesse Arvedi, Italy, 20, 20, 38, 15, 3, 0, 4, 13, 21, 1.65, 55, 2, 0, 0, 0, 1, 2714, 19
1054, 2, Murguialday Jokin, Caja Rural - Seguros RGA, Spain, 20, 11, 32, 5, 23, 2, 4, 10, 21, 1.73, 58, 0, 0, 0, 0, 2, 8554, 52
1055, 2, Wandahl Frederik, BORA - hansgrohe, Denmark, 20, 20, 75, 10, 10, 0, 0, 0, 20,  ,  , 0, 0, 0, 0, 1, 7484, 50
1056, 2, Toumire Hugo,  , France, 20, 20, 71, 0, 20, 0, 2, 13, 20, 1.8, 69, 0, 0, 0, 0, 1, 5737, 41
1057, 2, Hennis Hasani,  , Anguilla, 20, 13, 83, 16, 0, 36, 0, 0, 24,  ,  , 0, 0, 0, 0, 3, 220, 3
1058, 2, Hayter Leo, Development Team DSM, Great Britain, 20, 15, 72, 15, 0, 0, 0, 9, 20, 1.78, 63, 3, 0, 0, 0, 2, 5109, 33
1059, 2, Budzinski Tomasz, HRE Mazowsze Serce Polski, Poland, 20, 20, 49, 4, 16, 0, 20, 19, 23, 1.77, 69, 0, 0, 0, 0, 1, 8201, 57
1060, 2, Tercero Fernando,  , Spain, 20, 20, 26, 0, 18, 1, 0, 1, 19, 1.82, 65, 0, 0, 0, 0, 1, 2651, 19
1061, 2, Aramayo Villena Jose Manuel,  , Bolivia, 20, 20, 35, 20, 0, 0, 0, 0, 19,  ,  , 0, 0, 0, 0, 1, 301, 2
1062, 2, Berlin Antoine, Global 6 Cycling, Monaco, 20, 20, 20, 8, 9, 20, 3, 24, 32, 1.71, 57, 0, 0, 0, 0, 1, 2926, 21
1063, 2, Dimitrov Petar,  , Bulgaria, 20, 20, 32, 0, 0, 30, 21, 0, 19,  ,  , 2, 1, 0, 0, 1, 2372, 23
1064, 1262, Torres Carlos Alberto,  , Venezuela, 19, 17, 31, 10, 61, 6, 92, 36, 28,  ,  , 0, 0, 0, 0, 7, 1758, 16
1065, 1, Batmunkh Maral-Erdene,  , Mongolia, 19, -3, 40, 119, 44, 228, 146, 32, 27,  ,  , 1, 7, 0, 0, 8, 0, 2
1066, 1, Alarcon José,  , Venezuela, 19, 18, 28, 48, 184, 243, 466, 270, 33,  ,  , 1, 0, 0, 0, 15, 2069, 18
1067, 1, Saleh Mohd Harrif, Terengganu Cycling Team, Malaysia, 19, -45, 60, 51, 45, 16, 2292, 16, 33,  ,  , 1, 4, 0, 0, 15, 631, 5
1068, 1, Schwarzmann Michael, BORA - hansgrohe, Germany, 19, -47, 8, 185, 167, 1, 606, 124, 30, 1.74, 69, 0, 1, 5, 8, 11, 7902, 51
1069, -50, Sütterlin Jasha, Team DSM, Germany, 19, -106, 8, 288, 558, 984, 250, 100, 29, 1.84, 78, 0, 1, 5, 22, 11, 6722, 44
1070, 0, Fortin Filippo, Team Vorarlberg, Italy, 19, -27, 54, 283, 23, 79, 1678, 24, 32, 1.83, 78, 1, 2, 0, 4, 11, 3065, 24
1071, 0, Kongstad Tobias, Riwal Cycling Team, Denmark, 19, 16, 43, 31, 12, 0, 45, 3, 25, 1.89, 72, 0, 0, 0, 0, 4, 6377, 36
1072, 349, Hamza Yacine,  , Algeria, 19, -12, 29, 67, 15, 40, 467, 22, 24,  ,  , 2, 0, 0, 0, 6, 2929, 24
1073, -1, Siemons Stijn,  , Belgium, 19, 19, 22, 19, 0, 0, 0, 4, 23,  ,  , 0, 0, 0, 0, 1, 3265, 18
1074, -1, Konychev Alexander, Team BikeExchange, Italy, 19, -28, 55, 122, 10, 27, 106, 0, 23, 1.85, 76, 0, 0, 0, 3, 3, 7660, 51
1075, -1, Urruty Maxime, Xelliss - Roubaix Lille Métropole, France, 19, -16, 20, 29, 18, 0, 72, 26, 28, 1.66, 59, 0, 0, 0, 0, 3, 7908, 50
1076, -1, Jaime Álex, Equipo Kern Pharma, Spain, 19, 19, 29, 19, 0, 5, 16, 4, 23, 1.83, 68, 0, 0, 0, 0, 1, 8003, 51
1077, -1, Bogli Jonathan, Team NIPPO-Provence-PTS Conti, Switzerland, 19, 19, 45, 0, 19, 0, 6, 4, 21,  ,  , 0, 0, 0, 0, 1, 4584, 36
1078, -1, Plowright Jensen, Team BridgeLane, Australia, 19, 9, 35, 4, 11, 0, 131, 2, 21,  ,  , 0, 0, 0, 0, 3, 2824, 24
1079, -1, Watson Samuel,  , Great Britain, 19, 19, 53, 8, 4, 5, 28, 12, 20,  ,  , 1, 0, 0, 0, 1, 3657, 26
1080, -1, Mikutis Aivaras, Ampler Development Team, Lithuania, 19, 19, 155, 10, 0, 33, 2, 0, 19,  ,  , 1, 0, 0, 0, 1, 3794, 28
1081, -1, Arrondell Reni,  , France, 19, 19, 40, 4, 0, 30, 0, 0, 21,  ,  , 2, 1, 0, 0, 1, 70, 2
1082, -1, Al Battashi Ahmed,  , Oman, 19, 19, 40, 4, 0, 30, 0, 0,  ,  ,  , 1, 1, 0, 0, 1, 116, 2
1083, -1, Vergaerde Otto, Alpecin-Fenix, Belgium, 18, -22, 0, 122, 57, 12, 90, 36, 27, 1.8, 74, 0, 0, 0, 10, 8, 6824, 46
1084, -1, Berhane Natnael, Cofidis Solutions Crédits, Eritrea, 18, 15, 0, 478, 815, 201, 393, 441, 30, 1.82, 66, 0, 9, 8, 7, 13, 8421, 57
1085, -1, Rossetto Stéphane, St Michel - Auber93, France, 18, -11, 24, 160, 668, 504, 232, 408, 34, 1.8, 68, 0, 3, 7, 5, 15, 5064, 32
1086, -1, Egidio Da Rosa Cristian,  , Brazil, 18, -10, 50, 41, 25, 295, 162, 47, 34,  ,  , 0, 0, 0, 0, 12, 221, 4
1087, -1, Sagan Juraj, BORA - hansgrohe, Slovakia, 18, -19, 5, 333, 70, 2, 241, 2, 32, 1.73, 65, 0, 4, 1, 13, 15, 6674, 45
1088, -1, Andriato Rafael,  , Brazil, 18, 15, 70, 615, 20, 66, 1720, 77, 34, 1.77, 67, 0, 4, 1, 4, 16, 160, 2
1089, -1, Peters Alex, SwiftCarbon Pro Cycling, Great Britain, 18, -39, 10, 41, 83, 13, 117, 72, 27, 1.75, 67, 0, 0, 0, 0, 8, 3046, 20
1090, -1, Neuman Dominik, Elkov - Kasper, Czech Republic, 18, 7, 78, 30, 1, 6, 254, 12, 26, 1.81, 72, 0, 0, 0, 0, 3, 7325, 50
1091, -1, Klaris Magnus Bak,  , Denmark, 18, 11, 35, 63, 19, 15, 102, 0, 25,  ,  , 0, 0, 0, 0, 5, 1600, 9
1092, -1, Paasschens Mathijs, Bingoal Pauwels Sauces WB, Netherlands, 18, 13, 14, 108, 25, 6, 147, 10, 25, 1.88, 81, 0, 0, 0, 4, 4, 7660, 46
1093, -1, Guichard Mickaël,  , France, 18, 15, 42, 28, 4, 61, 146, 9, 28,  ,  , 2, 0, 0, 0, 6, 3007, 23
1094, 0, Bonnet Thomas,  , France, 18, 18, 31, 0, 11, 9, 6, 22, 23,  ,  , 1, 0, 0, 0, 1, 4127, 29
1095, 0, Colman Alex, Sport Vlaanderen - Baloise, Belgium, 18, -6, 0, 48, 0, 2, 82, 2, 23, 1.84, 76, 0, 0, 0, 1, 4, 5452, 33
1096, 0, Agrotis Alexandros,  , Cyprus, 18, 6, 48, 29, 2, 75, 8, 1, 23,  ,  , 0, 1, 0, 0, 5, 2191, 20
1097, 0, Devanne Antoine,  , France, 18, 18, 51, 16, 3, 32, 0, 0, 21,  ,  , 1, 0, 0, 0, 1, 2411, 18
1098, 0, Nielsen Sebastian, Restaurant Suri - Carl Ras, Denmark, 18, 18, 13, 0, 0, 0, 2, 0, 21,  ,  , 0, 0, 0, 0, 1, 2045, 15
1099, 0, Nencini Tommaso,  , Italy, 18, 18, 30, 18, 6, 0, 13, 0, 21,  ,  , 0, 0, 0, 0, 1, 1749, 15
1100, 0, Yuan Zhanhui, Tianyoude Hotel Cycling Team, China, 18, 18, 30, 0, 11, 0, 0, 8, 23,  ,  , 1, 0, 0, 0, 1, 993, 8
1101, 0, Polanco Steven,  , Dominican Republic, 18, 18, 30, 18, 0, 2, 0, 0, 21,  ,  , 0, 0, 0, 0, 1, 1371, 13
1102, 0, Al Mansoori Ahmed,  , United Arab Emirates, 17, 15, 45, 27, 0, 42, 40, 0, 31,  ,  , 0, 0, 0, 0, 9, 87, 2
1103, 1, Lincoln Yannick,  , Mauritius, 17, -8, 45, 51, 0, 302, 0, 0, 38,  ,  , 0, 3, 0, 0, 13, 19, 2
1104, 1, Bouglas Georgios, Salcano Sakarya BB Team, Greece, 17, -12, 61, 82, 24, 77, 1044, 46, 31,  ,  , 1, 3, 0, 0, 13, 3011, 22
1105, 1, Rovny Ivan, Gazprom - RusVelo, Russia, 17, -15, 60, 578, 491, 119, 371, 410, 34, 1.73, 62, 0, 1, 9, 9, 16, 5739, 37
1106, 2, Prado Ignacio de Jesús, Canel's Zerouno, Mexico, 17, -2, 90, 110, 11, 326, 141, 1, 28, 1.78, 65, 1, 5, 0, 0, 9, 2021, 17
1107, 2, Jabrayilov Samir,  , Azerbaijan, 17, -57, 105, 131, 57, 143, 360, 8, 27,  ,  , 0, 1, 0, 0, 9, 2171, 20
1108, 2, Pawlak Tobiasz, HRE Mazowsze Serce Polski, Poland, 17, 16, 16, 15, 11, 62, 133, 0, 26, 1.89, 79, 0, 0, 0, 0, 5, 7422, 51
1109, 2, Tsishkou Raman, BelAZ, Belarus, 17, 15, 74, 17, 0, 73, 69, 1, 26, 1.81, 72, 1, 0, 0, 0, 7, 2283, 18
1110, 2, Reyes Elvys Noel,  , Puerto Rico, 17, 7, 45, 50, 0, 55, 1, 0, 26, 1.63, 56, 0, 3, 0, 0, 5, 0, 2
1111, 2, Wallin Rasmus Bøgh,  , Denmark, 17, -2, 55, 123, 12, 8, 246, 3, 25, 1.95, 78, 0, 0, 0, 0, 5, 2179, 14
1112, 2, Sunnatov Akramjon,  , Uzbekistan, 17, 16, 23, 30, 3, 51, 7, 3, 25,  ,  , 0, 1, 0, 0, 7, 1395, 14
1113, 2, Mayer Alexandre,  , Mauritius, 17, 2, 60, 37, 3, 56, 29, 6, 23,  ,  , 1, 2, 0, 0, 5, 19, 2
1114, 2, Leitão Iúri, Tavfer-Measindot-Mortágua, Portugal, 17, 17, 18, 0, 0, 0, 96, 0, 23,  ,  , 2, 0, 0, 0, 1, 2921, 19
1115, 2, El Gouzi Omar, Iseo Serrature - Rime - Carnovali, Italy, 17, 16, 24, 5, 13, 0, 27, 12, 22, 1.81, 58, 0, 0, 0, 0, 4, 2804, 20
1116, 2, Yemane Dawit, Bike Aid, Eritrea, 17, 3, 120, 88, 32, 24, 85, 17, 23,  ,  , 1, 1, 0, 0, 5, 1982, 13
1117, 2, Kelsick Jeffery,  , Antigua and Barbuda, 17, 7, 45, 20, 0, 41, 0, 0, 51,  ,  , 0, 0, 0, 0, 5, 220, 4
1118, 2, Mackellar Alastair, Israel Cycling Academy, Australia, 17, 17, 12, 0, 0, 3, 0, 19, 19, 1.84, 69, 1, 0, 0, 0, 1, 4859, 33
1119, 2, Kelly Jacob,  , Barbados, 17, 17, 35, 2, 0, 42, 0, 0, 22,  ,  , 1, 1, 0, 0, 1, 90, 3
1120, 2, Paredes Abraham,  , Chile, 17, 17, 50, 10, 0, 47, 0, 0, 32,  ,  , 0, 0, 0, 0, 1, 120, 4
1121, 2, Abdureazak Abdul,  , Ethiopia, 17, 17, 0, 10, 0, 25, 0, 0,  ,  ,  , 0, 0, 0, 0, 1, 146, 2
1122, 2, Hendricks Clint,  , South Africa, 16, -86, 60, 63, 49, 16, 355, 55, 30,  ,  , 0, 0, 0, 0, 7, 229, 2
1123, 2, Mestre Daniel, W52 / FC Porto , Portugal, 16, -19, 22, 26, 58, 321, 501, 144, 35, 1.75, 65, 1, 4, 0, 0, 11, 3525, 23
1124, 2, Ivanov Borislav,  , Bulgaria, 16, 13, 30, 14, 14, 93, 124, 9, 32,  ,  , 2, 0, 0, 0, 12, 4113, 35
1125, 2, Flaksis Andžs,  , Latvia, 16, 15, 80, 96, 66, 137, 151, 4, 30,  ,  , 0, 0, 0, 0, 12, 1019, 6
1126, 2, Vanbilsen Kenneth, Cofidis Solutions Crédits, Belgium, 16, -2, 0, 746, 173, 3, 984, 58, 31, 1.84, 73, 0, 2, 4, 15, 11, 6930, 45
1127, 2, Guarnieri Jacopo, Groupama - FDJ, Italy, 16, -33, 0, 695, 319, 1, 1338, 74, 34, 1.9, 80, 0, 4, 10, 27, 15, 8466, 55
1128, 2, Koishi Yuma, Team UKYO, Japan, 16, 9, 70, 84, 15, 39, 37, 21, 28, 1.75, 62, 0, 0, 0, 1, 8, 634, 6
1129, 2, Rahbek Mads, BHS - PL Beton Bornholm, Denmark, 16, -3, 10, 0, 34, 12, 46, 28, 26, 1.81, 66, 0, 0, 0, 0, 8, 3638, 25
1130, 2, Maitre Florian, Team TotalEnergies, France, 16, 2, 25, 37, 2, 6, 64, 1, 25, 1.8, 71, 0, 0, 0, 2, 4, 6270, 39
1131, 2, Montenegro Jorge,  , Ecuador, 16, 14, 64, 35, 4, 135, 58, 18, 33,  ,  , 1, 2, 0, 0, 15, 776, 8
1132, 3, Cañellas Xavier, Gios, Spain, 16, -29, 25, 79, 21, 1, 103, 0, 24, 1.75, 66, 0, 1, 0, 0, 5, 1498, 10
